,PublicationType,beginning.of.publication.period,end.of.publication.period,PublicationDate,Question,Breakdown1,value
3150665,Month,01/09/2017,30/09/2017,2017/11,Total number of inappropriate OAP days over the period,England,22498
2874884,Month,01/10/2017,31/10/2017,2017/12,Total number of inappropriate OAP days over the period,England,22520
2580601,Month,01/11/2017,30/11/2017,2018/01,Total number of inappropriate OAP days over the period,England,19035
563126,Month,01/12/2017,31/12/2017,2018/02,Total number of inappropriate OAP days over the period,England,20560
1176530,Month,01/01/2018,31/01/2018,2018/03,Total number of inappropriate OAP days over the period,England,20645
839513,Month,01/02/2018,28/02/2018,2018/05,Total number of inappropriate OAP days over the period,England,17900
2033973,Month,01/03/2018,31/03/2018,2018/06,Total number of inappropriate OAP days over the period,England,18475
94846,Month,01/04/2018,30/04/2018,2018/07,Total number of inappropriate OAP days over the period,England,20180
2360672,Month,01/05/2018,31/05/2018,2018/07,Total number of inappropriate OAP days over the period,England,20100
1771823,Month,01/06/2018,30/06/2018,2018/09,Total number of inappropriate OAP days over the period,England,19145
1502911,Month,01/07/2018,31/07/2018,2018/10,Total number of inappropriate OAP days over the period,England,21245
311560,Month,01/08/2018,31/08/2018,2018/11,Total number of inappropriate OAP days over the period,England,23210
3194986,Month,01/09/2018,30/09/2018,2018/12,Total number of inappropriate OAP days over the period,England,19285
2943809,Month,01/10/2018,31/10/2018,2019/01,Total number of inappropriate OAP days over the period,England,20775
2635214,Month,01/11/2018,30/11/2018,2019/02,Total number of inappropriate OAP days over the period,England,20660
602070,Month,01/12/2018,31/12/2018,2019/03,Total number of inappropriate OAP days over the period,England,18370
1224298,Month,01/01/2019,31/01/2019,2019/04,Total number of inappropriate OAP days over the period,England,19930
921527,Month,01/02/2019,28/02/2019,2019/05,Total number of inappropriate OAP days over the period,England,20090
2083212,Month,01/03/2019,31/03/2019,2019/06,Total number of inappropriate OAP days over the period,England,24265
113749,Month,01/04/2019,30/04/2019,2019/07,Total number of inappropriate OAP days over the period,England,23075
2410530,Month,01/05/2019,31/05/2019,2019/08,Total number of inappropriate OAP days over the period,England,23665
1821379,Month,01/06/2019,30/06/2019,2019/09,Total number of inappropriate OAP days over the period,England,23680
1554388,Month,01/07/2019,31/07/2019,2019/10,Total number of inappropriate out of area placement days over the period,England,24520
379319,Month,01/08/2019,31/08/2019,2019/11,Total number of inappropriate OAP days over the period,England,23680
3277034,Month,01/09/2019,30/09/2019,2019/12,Total number of inappropriate OAP days over the period,England,22130
2987900,Month,01/10/2019,31/10/2019,2020/01,Total number of inappropriate OAP days over the period,England,21200
2700135,Month,01/11/2019,30/11/2019,2020/02,Total number of inappropriate OAP days over the period,England,19015
670731,Month,01/12/2019,31/12/2019,2020/03,Total number of inappropriate OAP days over the period,England,19115
1274074,Month,01/01/2020,31/01/2020,2020/04,Total number of inappropriate OAP days over the period,England,20040
982118,Month,01/02/2020,29/02/2020,2020/05,Total number of inappropriate OAP days over the period,England,20045
2143670,Month,01/03/2020,31/03/2020,2020/06,Total number of inappropriate OAP days over the period,England,20335
205852,Month,01/04/2020,30/04/2020,2020/07,Total number of inappropriate OAP days over the period,England,14460
2502970,Month,01/05/2020,31/05/2020,2020/08,Total number of inappropriate OAP days over the period,England,13340
1886697,Month,01/06/2020,30/06/2020,2020/09,Total number of inappropriate OAP days over the period,England,15485
1619931,Month,01/07/2020,31/07/2020,2020/10,Total number of inappropriate OAP days over the period,England,17180
459032,Month,01/08/2020,31/08/2020,2020/11,Total number of inappropriate OAP days over the period,England,19495
3342846,Month,01/09/2020,30/09/2020,2020/12,Total number of inappropriate OAP days over the period,England,18740
3067723,Month,01/10/2020,31/10/2020,2021/01,Total number of inappropriate OAP days over the period,England,19835
2779856,Month,01/11/2020,30/11/2020,2021/02,Total number of inappropriate OAP days over the period,England,20705
749884,Month,01/12/2020,31/12/2020,2021/03,Total number of inappropriate OAP days over the period,England,21465
1352831,Month,01/01/2021,31/01/2021,2021/04,Total number of inappropriate OAP days over the period,England,21770
1060921,Month,01/02/2021,28/02/2021,2021/05,Total number of inappropriate OAP days over the period,England,20390
2221969,Month,01/03/2021,31/03/2021,2021/06,Total number of inappropriate OAP days over the period,England,23170
